epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6248,0.98691,3.69362,1.56481,0.39111,0.25595,0.33814,0.24791,0.96049,5.17182,1.71026,6.67e-05,6.67e-05,6.67e-05
2,33.7745,0.81887,2.71727,1.43165,0.37276,0.27296,0.2225,0.12709,1.29425,5.00113,2.06857,0.000137759,0.000137759,0.000137759
3,44.5307,0.84398,2.49628,1.42083,0.19584,0.59061,0.3219,0.19184,1.35418,5.92123,2.0588,0.000206396,0.000206396,0.000206396
4,55.0756,0.94517,2.25535,1.46854,0.10004,0.36111,0.14422,0.09529,1.7716,204.328,2.69456,0.000272613,0.000272613,0.000272613
5,65.7656,0.99584,2.17893,1.48129,0.16089,0.52229,0.27424,0.17761,1.51573,14.8111,2.2253,0.000336408,0.000336408,0.000336408
6,81.1841,0.97201,2.16792,1.47911,0.00646,0.63492,0.00895,0.00518,1.42998,151.361,2.10556,0.000397782,0.000397782,0.000397782
7,92.2464,0.96474,2.14842,1.47635,0.00207,0.31019,0.00177,0.00084,2.52768,inf,4.88175,0.000456735,0.000456735,0.000456735
8,106.13,1.0455,2.06464,1.5224,0.42862,0.27579,0.33027,0.16721,1.78937,25.81,2.53757,0.000513267,0.000513267,0.000513267
9,117.5,1.08796,2.0655,1.54359,0.56714,0.27183,0.31319,0.15163,1.67942,44.055,2.24136,0.000567377,0.000567377,0.000567377
10,128.437,1.11387,2.06737,1.57057,0.19275,0.49405,0.23882,0.15477,1.67271,10.7883,2.26189,0.00056795,0.00056795,0.00056795
11,139.266,1.01728,2.03358,1.4893,0.52587,0.29167,0.23486,0.10603,1.6377,7.04547,2.14773,0.000556945,0.000556945,0.000556945
12,150.069,0.98047,2.01548,1.44952,0.33743,0.42978,0.29072,0.14138,2.10729,14.1361,3.13363,0.00054594,0.00054594,0.00054594
13,160.792,0.9442,1.89427,1.43261,0.21327,0.40542,0.2515,0.13379,2.14659,9.68618,2.92516,0.000534934,0.000534934,0.000534934
14,175.866,1.00649,1.85746,1.50244,0.39492,0.38558,0.24846,0.15533,1.7586,5.97549,2.55283,0.000523928,0.000523928,0.000523928
15,186.79,0.98561,1.91117,1.46219,0.42816,0.50489,0.44066,0.22849,1.52792,5.13857,2.41062,0.000512923,0.000512923,0.000512923
16,197.953,0.90337,1.74576,1.42268,0.25793,0.41865,0.34192,0.22863,1.80212,4.33655,2.39373,0.000501917,0.000501917,0.000501917
17,208.96,0.95099,1.75851,1.42422,0.28387,0.35847,0.3565,0.22979,1.80296,4.49781,2.6507,0.000490912,0.000490912,0.000490912
18,219.819,0.8681,1.6351,1.40205,0.50459,0.47908,0.49737,0.34874,1.48103,3.39493,2.19501,0.000479907,0.000479907,0.000479907
19,233.196,0.87696,1.5799,1.37524,0.75691,0.51583,0.5833,0.29712,1.4556,2.73131,2.031,0.000468901,0.000468901,0.000468901
20,243.926,0.86299,1.50482,1.38697,0.59177,0.69207,0.65136,0.40367,1.35529,1.9974,2.09835,0.000457895,0.000457895,0.000457895
21,256.413,0.85324,1.55214,1.37139,0.79052,0.68761,0.70137,0.42301,1.3741,2.18096,2.08574,0.00044689,0.00044689,0.00044689
22,268.415,0.86095,1.50789,1.36435,0.74871,0.22685,0.45451,0.3231,1.41898,3.28336,2.11076,0.000435884,0.000435884,0.000435884
